,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,GPA,Family income source,Class Label,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day
0,10-13 years,female,Native Language,Private sector,Home maker,Four or more,Honors/ Equivalent ,primary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,Mediam,3.16,Casual Wage,No,60,75,70,38,86,36,77,350000,Yes,3 hours
1,13-15 years,female,Native Language,Unemployed,Home maker,Four or more,secondary,None,1-2 km,Private car,Electricity,Teaching facilities,None,High,3.41,Pansion,No,74,68,83,84,24,63,82,200000,Yes,3 hours
2,10-13 years,female,Native Language,Business,Worker,None,primary,Honors/Equivalent ,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,High,2.98,Own business,No,84,29,86,23,85,58,52,400000,Yes,2 hours
3,10-13 years,male,Native Language,Private sector,Home maker,Four or more,Honors/ Equivalent ,Honors/Equivalent ,0.5-1 km,School Bus/Bus,Other,Water,None,Low,2.55,Casual Wage,Yes,65,81,32,53,20,56,50,200000,Yes,2 hours
4,13-15 years,female,Native Language,Immigrant,Agriculture,Two Children,secondary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,2.71,Remittance,No,58,75,69,59,51,46,21,300000,Yes,2 hours
5,10-13 years,female,Bangla,Worker,Home maker,Three Children,secondary,None,2-3 km,Rickshaw,Electricity,Toilet,Once,High,2.49,Casual Wage,Yes,70,61,49,21,25,60,62,200000,Yes,1 hours
6,13-15 years,male,Native Language,Business,Immigrant,Four or more,secondary,primary,6-7 km,Walk,Electricity,Water,Once,Low,2.89,Own business,No,84,48,84,70,57,28,34,450000,Yes,2 hours
7,10-13 years,male,Native Language,Private sector,Home maker,Four or more,Honors/ Equivalent ,primary,1-2 km,Rickshaw,Electricity,Teaching facilities,None,High,2.89,Casual Wage,No,70,27,82,44,83,69,30,500000,Yes,2 hours
8,10-13 years,male,Native Language,Agriculture,Home maker,Two Children,secondary,secondary,6-7 km,Bicycle/motorbike,Electricity,Electricity,None,High,2.34,Farming,Yes,26,72,20,75,45,37,52,180000,No,1 hours
9,10-13 years,female,Native Language,Public sector,Home maker,Three Children,secondary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,3.07,Formal Wage,No,51,81,56,28,75,80,59,550000,Yes,3 hours
10,10-13 years,male,Bangla,Private sector,Home maker,Four or more,secondary,None,2-3 km,Walk,Other,Toilet,None,Mediam,2.25,Casual Wage,Yes,42,49,47,25,82,37,33,100000,No,1 hours
11,13-15 years,male,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,secondary,6-7 km,Walk,Electricity,Water,Once,High,3.23,Casual Wage,No,41,53,74,90,88,71,35,400000,Yes,3 hours
12,10-13 years,male,Native Language,Worker,Public sector,Four or more,secondary,secondary,>7 km,Walk,Electricity,Water,Once,Low,2.91,Casual Wage,No,63,70,80,46,91,35,22,900000,Yes,2 hours
13,15-18 years,male,Bangla,Public sector,Worker,Two Children,primary,secondary,>7 km,Walk,Electricity,Water,None,High,2.71,Formal Wage,No,60,75,28,23,60,68,66,850000,Yes,2 hours
14,13-15 years,male,Bangla,Worker,Home maker,Two Children,primary,secondary,>7 km,Walk,Electricity,Teaching facilities,None,High,3.33,Casual Wage,No,83,75,78,44,70,51,65,250000,Yes,3 hours
15,13-15 years,female,Native Language,Public sector,Home maker,None,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Toilet,Once,High,2.13,Formal Wage,Yes,21,21,28,84,65,56,23,180000,No,1 hours
16,13-15 years,female,Native Language,Agriculture,Agriculture,Three Children,secondary,secondary,6-7 km,Bicycle/motorbike,Other,Teaching facilities,Once,High,2.74,Farming,No,41,71,34,49,67,62,60,150000,No,2 hours
17,13-15 years,male,Native Language,Freelancer ,Freelancer,Two Children,primary,None,>7 km,Bicycle/motorbike,Paraffin,Electricity,Once,Mediam,3.14,Own business,No,78,39,82,65,45,61,70,250000,Yes,3 hours
18,10-13 years,female,Native Language,Immigrant,Home maker,Two Children,secondary,None,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.92,Remittance,No,65,66,37,90,20,85,46,450000,Yes,2 hours
19,15-18 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Rickshaw,Other,Teaching facilities,Once,Low,2.85,Casual Wage,No,48,47,72,32,69,68,63,250000,Yes,2 hours
20,10-13 years,female,Native Language,Agriculture,Home maker,None,Honors/ Equivalent ,secondary,1-2 km,Rickshaw,Electricity,Water,None,High,2.92,Farming,No,75,23,50,80,67,32,82,500000,Yes,2 hours
